"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,の取れた,は思います,は良好です,が良いので,の高い,はいいと,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,に優れた,が良くて,は抜群です,も良いので,がよいです,もありません,も良好です,がいいですね,は感じです
weight,"",0.00062741654691071,0.000389582556006508,0.000265737283876965,0.000232031913904599,0.00022589766473674,0.000208331274185369,0.000199747134881469,0.000191499628619542,0.00016924874214851,0.000157620507189921,0.00014734937287583,0.000138822920283153,0.000129909090119014,0.000129038222135907,0.000125540570066013,0.000118980673652528,0.000114522042799931,0.000105908532567163,0.000101731460798046,9.97697713130937e-05,9.88172889759775e-05,9.81809373171068e-05,8.75793201300828e-05,8.66806276760406e-05,8.64801059457833e-05,7.6733033138004e-05,7.55828101857783e-05,7.17379690626221e-05,7.10933405136273e-05,7.02083575906956e-05,6.91129884100677e-05,6.87673771999926e-05,6.77104999303126e-05,6.35491017354838e-05,5.96716706440456e-05,5.88239170842837e-05,5.64588937328623e-05,5.36083885687844e-05,5.31519898320779e-05,5.1957686219015e-05,4.93837885333238e-05,4.84894997114382e-05,4.82025694849593e-05,4.63986388305876e-05,4.54570146209356e-05,4.42462910663783e-05,4.38020716087166e-05,4.30751774404388e-05,4.15892926516663e-05,4.00996648426179e-05
バランス,0.000832268593049993,20,14,10,6,6,5,7,8,3,5,4,9,0,6,8,5,11,3,4,27,0,3,2,2,4,0,2,4,2,19,2,3,0,1,4,5,2,2,0,0,0,0,1,1,3,0,0,0,1,0
画質,0.00060886539595212,2,24,6,12,14,13,6,19,6,11,9,13,18,1,2,1,6,1,5,0,28,2,5,0,11,11,7,4,0,0,0,7,9,10,1,2,4,4,2,1,7,1,2,1,0,0,6,2,1,2
使い勝手,0.000518813630652531,12,17,10,7,4,10,15,5,12,4,1,6,4,5,4,5,1,6,1,0,1,5,3,0,3,3,1,1,0,0,1,1,1,1,3,0,2,1,0,1,2,0,1,0,0,5,1,1,4,0
操作性,0.000389261243882809,4,4,8,6,12,6,4,10,3,5,1,2,11,0,3,3,6,2,9,0,11,6,2,0,9,4,2,0,3,0,0,2,3,8,0,1,2,5,1,2,1,2,0,6,1,1,1,3,1,3
携帯性,0.000340783085157122,11,6,2,3,12,3,5,12,1,6,1,1,11,0,3,0,2,3,2,0,12,3,1,0,0,10,3,2,1,0,2,4,1,1,1,3,1,0,0,5,1,5,1,17,1,0,1,0,0,2
持ち,0.000330280912114646,0,22,0,30,0,5,4,6,1,0,9,2,7,0,0,1,0,6,0,0,0,0,2,0,0,1,3,5,0,0,6,2,0,0,1,0,9,0,0,6,1,0,1,1,0,1,0,0,0,2
ホールド感,0.00027293589089007,3,3,5,5,6,14,2,4,1,5,1,1,9,0,0,1,0,0,4,0,4,9,3,0,0,2,7,0,1,0,3,1,3,1,1,1,0,3,0,1,0,0,1,4,4,1,5,2,0,3
写り,0.000201663820471407,7,4,4,2,4,4,1,5,1,1,5,2,6,1,0,0,2,0,0,0,4,1,1,0,2,7,3,1,0,0,0,2,0,2,1,2,0,3,0,2,4,0,2,0,0,0,8,0,0,1
コストパフォーマンス,0.000183224953123752,5,5,1,0,1,4,0,8,0,1,1,2,0,0,10,0,2,3,0,0,2,0,0,36,1,1,0,0,14,0,0,0,0,0,0,3,0,1,0,1,9,33,0,2,0,0,0,0,0,0
