"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,はありません,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,が良いので,はいいと,はいいです,は良い,が高い,が悪いと,もいいです,は良く,が悪く,のとれた,も良い,がいいと,を考えれば,が悪いです,もいい,がいいので,の悪い,は最高です,もありません,に優れた,が良くて,は抜群です,も良いので,がよいです,も良好です,は感じです,はいいですね,がいいですね,があり,が感じます,は悪いです,になります,はありませんが,も満足しています,が良くない,はありますが,はあります
weight,"",0.000220318805113815,0.000140125479451891,9.41086933828775e-05,8.59757325338743e-05,8.43042948437385e-05,7.86827908399044e-05,7.29510859383705e-05,6.96406898833992e-05,6.17015877896419e-05,5.94888522975982e-05,5.71219816397881e-05,5.36047072520737e-05,4.96402636741504e-05,4.65927274374951e-05,4.46747522919645e-05,4.35359619186901e-05,4.14905599064649e-05,3.92125253683668e-05,3.82575177217848e-05,3.69662860494135e-05,3.5074920264404e-05,3.49125291344159e-05,3.44906673245401e-05,3.23352135222718e-05,3.22083592081361e-05,2.80714562585996e-05,2.74071802312446e-05,2.69159342585644e-05,2.66257605739564e-05,2.50252820917876e-05,2.49728466524654e-05,2.4877888494244e-05,2.45680760575519e-05,2.32930896696535e-05,2.24509547050697e-05,2.09517868395389e-05,2.07967655736082e-05,2.02393805573845e-05,1.909125984959e-05,1.89389523202418e-05,1.83921270503386e-05,1.79616387051053e-05,1.77603979522391e-05,1.73122957944745e-05,1.69305367979891e-05,1.66424636491175e-05,1.56929404961982e-05,1.54822906109523e-05,1.54395460126411e-05,1.53674003010167e-05,1.47809657140084e-05,1.44271847462653e-05,1.42000175842801e-05,1.40234239521024e-05,1.36315489798754e-05,1.33795498297278e-05,1.28319445808726e-05,1.26941336962103e-05,1.26551362141546e-05,1.25006539848058e-05
バランス,0.00030144385518116,20,14,10,6,6,5,7,8,3,0,5,4,9,6,8,5,11,3,4,0,3,27,2,2,4,0,2,2,4,0,3,2,19,1,4,5,2,2,0,0,0,0,0,1,1,3,0,0,0,2,1,0,3,1,1,0,1,1,0,0
画質,0.000236453892350053,2,24,6,12,14,13,6,19,6,18,11,9,13,1,2,1,6,1,5,28,2,0,0,5,11,11,7,0,4,9,7,0,0,10,1,2,4,4,1,2,7,6,1,2,1,0,0,2,2,2,1,1,0,3,5,4,11,1,9,6
使い勝手,0.00018932379483915,12,17,10,7,4,10,15,5,12,4,4,1,6,5,4,5,1,6,1,1,5,0,0,3,3,3,1,0,1,1,1,1,0,1,3,0,2,1,1,0,2,1,0,1,0,0,5,1,0,0,4,0,1,0,0,0,0,1,0,0
操作性,0.000147853957062836,4,4,8,6,12,6,4,10,3,11,5,1,2,0,3,3,6,2,9,11,6,0,0,2,9,4,2,3,0,3,2,0,0,8,0,1,2,5,2,1,1,1,2,0,6,1,1,3,3,1,1,1,0,3,0,1,2,1,3,1
持ち,0.000132487452605908,0,22,0,30,0,5,4,6,1,7,0,9,2,0,0,1,0,6,0,0,0,0,0,2,0,1,3,0,5,0,2,6,0,0,1,0,9,0,6,0,1,0,0,1,1,0,1,0,2,2,0,0,1,5,0,1,0,5,1,0
携帯性,0.000129967975396687,11,6,2,3,12,3,5,12,1,11,6,1,1,0,3,0,2,3,2,12,3,0,0,1,0,10,3,1,2,1,4,2,0,1,1,3,1,0,5,0,1,1,5,1,17,1,0,0,2,0,0,0,0,5,0,7,0,0,0,1
ホールド感,0.000105468615151505,3,3,5,5,6,14,2,4,1,9,5,1,1,0,0,1,0,0,4,4,9,0,0,3,0,2,7,1,0,3,1,3,0,1,1,1,0,3,1,0,0,5,0,1,4,4,1,2,3,0,0,2,1,1,0,2,2,2,0,3
写り,7.65146173312636e-05,7,4,4,2,4,4,1,5,1,6,1,5,2,1,0,0,2,0,0,4,1,0,0,1,2,7,3,0,1,0,2,0,0,2,1,2,0,3,2,0,4,8,0,2,0,0,0,0,1,4,0,0,0,0,3,0,1,0,1,1
質感,6.90853402028675e-05,1,4,5,1,5,4,2,4,1,2,2,4,1,0,0,1,3,1,2,2,1,0,5,0,2,5,0,9,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,2,4,1,2,4,1,0,0,1,1,0,3,6
