"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,の取れた,は思います,は良好です,が良いので,の高い,はいいと,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,に優れた,が良くて,は抜群です,も良いので,がよいです,もありません,も良好です,がいいですね,は感じです
weight,"",0.000153789061685886,9.53899587935981e-05,6.50548318074227e-05,5.67738969515942e-05,5.52929996331013e-05,5.0988654703251e-05,4.8897442863461e-05,4.68872451849865e-05,4.14369561586695e-05,3.85827630662087e-05,3.60835305019561e-05,3.39905118963879e-05,3.17549923670211e-05,3.16141732136293e-05,3.07637152924011e-05,2.91260241546009e-05,2.8048242468543e-05,2.59379250664835e-05,2.48963847258871e-05,2.44425770498578e-05,2.41835538983011e-05,2.40262658370192e-05,2.14481110857953e-05,2.12829763240555e-05,2.11715811717388e-05,1.87793831852864e-05,1.84991864388801e-05,1.7566935690306e-05,1.74310892187244e-05,1.72003319980481e-05,1.69220098545152e-05,1.68348490912355e-05,1.65604556763967e-05,1.55505169104578e-05,1.46115674943463e-05,1.44160904098888e-05,1.38152608051272e-05,1.31271024955559e-05,1.30340200958571e-05,1.27205301137148e-05,1.2100667263155e-05,1.19149679919111e-05,1.17999645338352e-05,1.13580358991564e-05,1.11259739016272e-05,1.0833781560857e-05,1.07130616339419e-05,1.05370569239888e-05,1.01811658578589e-05,9.81003432548951e-06
バランス,0.000203844780917092,20,14,10,6,6,5,7,8,3,5,4,9,0,6,8,5,11,3,4,27,0,3,2,2,4,0,2,4,2,19,2,3,0,1,4,5,2,2,0,0,0,0,1,1,3,0,0,0,1,0
画質,0.000149054525171383,2,24,6,12,14,13,6,19,6,11,9,13,18,1,2,1,6,1,5,0,28,2,5,0,11,11,7,4,0,0,0,7,9,10,1,2,4,4,2,1,7,1,2,1,0,0,6,2,1,2
使い勝手,0.000127034187512821,12,17,10,7,4,10,15,5,12,4,1,6,4,5,4,5,1,6,1,0,1,5,3,0,3,3,1,1,0,0,1,1,1,1,3,0,2,1,0,1,2,0,1,0,0,5,1,1,4,0
操作性,9.52952373470411e-05,4,4,8,6,12,6,4,10,3,5,1,2,11,0,3,3,6,2,9,0,11,6,2,0,9,4,2,0,3,0,0,2,3,8,0,1,2,5,1,2,1,2,0,6,1,1,1,3,1,3
携帯性,8.34447204858958e-05,11,6,2,3,12,3,5,12,1,6,1,1,11,0,3,0,2,3,2,0,12,3,1,0,0,10,3,2,1,0,2,4,1,1,1,3,1,0,0,5,1,5,1,17,1,0,1,0,0,2
持ち,8.0849234308817e-05,0,22,0,30,0,5,4,6,1,0,9,2,7,0,0,1,0,6,0,0,0,0,2,0,0,1,3,5,0,0,6,2,0,0,1,0,9,0,0,6,1,0,1,1,0,1,0,0,0,2
ホールド感,6.68105560865119e-05,3,3,5,5,6,14,2,4,1,5,1,1,9,0,0,1,0,0,4,0,4,9,3,0,0,2,7,0,1,0,3,1,3,1,1,1,0,3,0,1,0,0,1,4,4,1,5,2,0,3
写り,4.93802350714201e-05,7,4,4,2,4,4,1,5,1,1,5,2,6,1,0,0,2,0,0,0,4,1,1,0,2,7,3,1,0,0,0,2,0,2,1,2,0,3,0,2,4,0,2,0,0,0,8,0,0,1
コストパフォーマンス,4.49236523043922e-05,5,5,1,0,1,4,0,8,0,1,1,2,0,0,10,0,2,3,0,0,2,0,0,36,1,1,0,0,14,0,0,0,0,0,0,3,0,1,0,1,9,33,0,2,0,0,0,0,0,0
質感,4.42214020089922e-05,1,4,5,1,5,4,2,4,1,2,4,1,2,0,0,1,3,1,2,0,2,1,0,5,2,5,0,0,9,0,0,0,5,6,0,0,0,0,0,0,4,0,1,0,0,0,0,2,2,4
デザイン,4.33528667425903e-05,1,7,3,0,7,2,2,11,0,1,1,1,0,0,0,1,4,1,2,0,11,1,2,0,6,3,2,0,0,0,0,0,3,2,1,0,0,2,0,0,2,0,0,0,0,0,1,0,4,5
気持ち,4.33149368103062e-05,13,7,0,0,0,0,2,0,9,0,9,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
評判,3.33847722840467e-05,14,1,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,2,0,0,0,0,0,1,0,0,0,0
レスポンス,3.28878946275659e-05,2,8,6,6,6,1,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
レンズ,2.51179796083535e-05,5,1,1,1,1,10,0,2,0,0,1,2,8,0,0,0,0,0,0,0,6,0,0,0,3,4,1,0,0,0,0,1,0,1,1,0,0,3,2,0,0,0,1,0,0,0,1,0,2,1
描写,2.50737143756494e-05,2,0,1,0,6,5,0,0,1,0,1,4,4,0,1,0,0,0,3,0,5,0,2,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,1,1,1,2,0,1,0,0,1,0,0
性能,2.43111901289398e-05,5,2,0,0,3,0,0,3,0,0,2,1,1,0,12,0,0,4,0,0,4,0,1,1,3,0,1,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,1,1
発色,2.40106124941992e-05,1,0,3,2,3,2,0,0,0,6,3,0,1,1,0,1,0,0,4,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1
色乗り,2.246142307435e-05,2,1,2,0,5,1,1,0,2,3,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
天気,1.79096094751098e-05,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
