"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,はありません,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,が良いので,はいいと,はいいです,は良い,が高い,が悪いと,もいいです,は良く,が悪く,のとれた,も良い,がいいと,を考えれば,が悪いです,もいい,がいいので,の悪い,は最高です,もありません,に優れた,が良くて,は抜群です,も良いので,がよいです,も良好です,は感じです,はいいですね,がいいですね,があり,が感じます,は悪いです,になります,はありませんが,も満足しています,が良くない,はありますが,はあります
weight,"",0.000429944684337926,0.000273512130487866,0.00018369480228466,0.000167838841134495,0.000164566686210392,0.000153599195392977,0.000142398536332205,0.000135939477994571,0.000120435962226625,0.000116197143049622,0.000111503420412905,0.000104629328323307,9.68922995914163e-05,9.09316680655093e-05,8.71947015973837e-05,8.49795076191965e-05,8.09807596237064e-05,7.6537606346851e-05,7.46829298584947e-05,7.21673517119036e-05,6.84702056681233e-05,6.81334661540085e-05,6.73089680357316e-05,6.31132851159684e-05,6.28702977432895e-05,5.48010790116047e-05,5.3501059598148e-05,5.25346283965491e-05,5.19689399714677e-05,4.88591696588307e-05,4.87464496391465e-05,4.85591194028477e-05,4.79457724787467e-05,4.54727768407157e-05,4.38207209465959e-05,4.08917863172765e-05,4.05983172515954e-05,3.95062854605561e-05,3.72669790484487e-05,3.69558290112732e-05,3.59018382644826e-05,3.50756479980083e-05,3.4660637862742e-05,3.37933977253839e-05,3.3051305818321e-05,3.24868443532413e-05,3.06309168226948e-05,3.022582241879e-05,3.01427701675913e-05,2.99973279203525e-05,2.88519516560557e-05,2.81665194050434e-05,2.77169055662465e-05,2.73769673692959e-05,2.66094466504658e-05,2.61316010150368e-05,2.50497488364435e-05,2.47799584396095e-05,2.47147857980468e-05,2.44073654249711e-05
バランス,0.000588340768746638,20,14,10,6,6,5,7,8,3,0,5,4,9,6,8,5,11,3,4,0,3,27,2,2,4,0,2,2,4,0,3,2,19,1,4,5,2,2,0,0,0,0,0,1,1,3,0,0,0,2,1,0,3,1,1,0,1,1,0,0
画質,0.00046156416838786,2,24,6,12,14,13,6,19,6,18,11,9,13,1,2,1,6,1,5,28,2,0,0,5,11,11,7,0,4,9,7,0,0,10,1,2,4,4,1,2,7,6,1,2,1,0,0,2,2,2,1,1,0,3,5,4,11,1,9,6
使い勝手,0.00036954108576197,12,17,10,7,4,10,15,5,12,4,4,1,6,5,4,5,1,6,1,1,5,0,0,3,3,3,1,0,1,1,1,1,0,1,3,0,2,1,1,0,2,1,0,1,0,0,5,1,0,0,4,0,1,0,0,0,0,1,0,0
操作性,0.000288613794503398,4,4,8,6,12,6,4,10,3,11,5,1,2,0,3,3,6,2,9,11,6,0,0,2,9,4,2,3,0,3,2,0,0,8,0,1,2,5,2,1,1,1,2,0,6,1,1,3,3,1,1,1,0,3,0,1,2,1,3,1
持ち,0.000258619508214957,0,22,0,30,0,5,4,6,1,7,0,9,2,0,0,1,0,6,0,0,0,0,0,2,0,1,3,0,5,0,2,6,0,0,1,0,9,0,6,0,1,0,0,1,1,0,1,0,2,2,0,0,1,5,0,1,0,5,1,0
携帯性,0.000253694643067515,11,6,2,3,12,3,5,12,1,11,6,1,1,0,3,0,2,3,2,12,3,0,0,1,0,10,3,1,2,1,4,2,0,1,1,3,1,0,5,0,1,1,5,1,17,1,0,0,2,0,0,0,0,5,0,7,0,0,0,1
ホールド感,0.000205880316583594,3,3,5,5,6,14,2,4,1,9,5,1,1,0,0,1,0,0,4,4,9,0,0,3,0,2,7,1,0,3,1,3,0,1,1,1,0,3,1,0,0,5,0,1,4,4,1,2,3,0,0,2,1,1,0,2,2,2,0,3
写り,0.000149351701816656,7,4,4,2,4,4,1,5,1,6,1,5,2,1,0,0,2,0,0,4,1,0,0,1,2,7,3,0,1,0,2,0,0,2,1,2,0,3,2,0,4,8,0,2,0,0,0,0,1,4,0,0,0,0,3,0,1,0,1,1
質感,0.000134855756179526,1,4,5,1,5,4,2,4,1,2,2,4,1,0,0,1,3,1,2,2,1,0,5,0,2,5,0,9,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,2,4,1,2,4,1,0,0,1,1,0,3,6
コストパフォーマンス,0.000134706571900365,5,5,1,0,1,4,0,8,0,0,1,1,2,0,10,0,2,3,0,2,0,0,36,0,1,1,0,14,0,0,0,0,0,0,0,3,0,1,1,0,9,0,33,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
デザイン,0.000129684844668965,1,7,3,0,7,2,2,11,0,0,1,1,1,0,0,1,4,1,2,11,1,0,0,2,6,3,2,0,0,3,0,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,5,0,4,0,0,0,1,2,1,0,4,2
気持ち,0.000126469847403536,13,7,0,0,0,0,2,0,9,1,0,9,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,1,0,0
評判,9.53247219221414e-05,14,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,9.52178808545373e-05,2,8,6,6,6,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
発色,7.95571867248362e-05,1,0,3,2,3,2,0,0,0,1,6,3,0,1,0,1,0,0,4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,1,3,0,4,1,0,0
レンズ,7.91684667482808e-05,5,1,1,1,1,10,0,2,0,8,0,1,2,0,0,0,0,0,0,6,0,0,0,0,3,4,1,0,0,0,1,0,0,1,1,0,0,3,0,2,0,1,0,1,0,0,0,0,1,1,2,5,1,0,3,2,0,0,2,4
描写,7.50575292287158e-05,2,0,1,0,6,5,0,0,1,4,0,1,4,0,1,0,0,0,3,5,0,0,0,2,0,0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,7,0,0,0,1,5
性能,7.24822579352765e-05,5,2,0,0,3,0,0,3,0,1,0,2,1,0,12,0,0,4,0,4,0,0,1,1,3,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3
色乗り,6.50306978174038e-05,2,1,2,0,5,1,1,0,2,0,3,0,0,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
不満,6.06930820806612e-05,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,1,26,0,0,17,4
相性,5.19423810738658e-05,1,2,1,0,3,0,2,1,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,1,2,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,5.04180066286489e-05,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,4.93046533672741e-05,0,2,1,0,0,6,2,1,0,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
精度,4.7351458246427e-05,2,2,2,2,1,1,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,4.7284775897798e-05,1,0,1,0,0,1,1,1,1,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
もち,4.72636065791652e-05,0,1,0,7,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0
ホールド性,4.53277102522635e-05,0,1,4,2,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,4.34003871601917e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
出来,3.91808742151039e-05,5,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
感じ,3.90653762843714e-05,0,4,0,0,0,3,1,1,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1,0,0,22,0,0,0,6,2
質,3.86841326027735e-05,4,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
視認性,3.6330667977539e-05,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
カメラ,3.3441734191845e-05,3,0,0,0,0,2,0,1,0,6,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,3,1,0,0,1,3
感度,3.29090148846469e-05,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ヌケ,3.26539921811398e-05,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,3.23318396137076e-05,0,1,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0
機能,3.17932775785323e-05,0,3,0,1,0,0,0,1,0,4,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,2,2,1,0,0,0,0,0,2,0,0,10,0,0,0,6,0,0,4,1
大きさ,3.13097179624023e-05,0,0,0,0,1,2,2,1,1,2,0,1,0,0,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,2
液晶,3.0596821819002e-05,1,1,0,0,0,7,0,2,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,1
重さ,3.04736439956983e-05,0,3,0,0,2,2,0,0,1,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2
切れ,3.03531895632002e-05,4,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
値段,3.02072565837678e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,1,0,1,0,0,9,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
重量バランス,2.93318743578627e-05,0,0,3,1,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
描写力,2.93180679684319e-05,0,0,0,0,1,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4
操作感,2.8696674343975e-05,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,2.83690567931876e-05,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0
画像,2.80483131079148e-05,0,1,0,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,5,1,0,0,0,2
反応,2.80111945141833e-05,2,0,1,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,2.7931037962649e-05,0,1,0,1,0,2,0,0,1,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,3,2,0,2,3
バッテリー,2.78257426694773e-05,0,1,0,0,0,5,0,1,0,9,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,3,0,1,0,0,1,0
補正,2.77781660066295e-05,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,9,1,0,0,2
解像度,2.74922696128056e-05,0,1,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,6,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ボケ,2.59237571356089e-05,0,1,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,2
コントラスト,2.54906072032226e-05,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
位置,2.53612039394978e-05,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
取り回し,2.38293129317773e-05,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ホールド,2.34626919027368e-05,0,1,0,0,0,5,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
条件,2.31624739607141e-05,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
音,2.25954551997545e-05,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
問題,2.15967093099217e-05,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,6,1
色合い,2.15615133422086e-05,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1
満足度,2.09871165159046e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
解像感,2.08855716457795e-05,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,1,2
場合,1.92408076848983e-05,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,2
AF精度,1.89055965960403e-05,1,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
完成度,1.8771702956269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
シャッター音,1.86189369143648e-05,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,0
